,상품명,판매가격
0,대체로 무난하다. 집에 두대의 유무선 전화기를 끄고 있는데. M사 것 보다는 디자인이 떨어지는듯하다. 그외는 모든 기능이 천편일률적으로 똑 같다. 부가기능등 메뉴의 선택 등 조작이,평점3
1,배송도 빠른고 상품도 우수합니다 좋은 제품 빠르게 배송...,평점5
2,하루만에 와서 깜짝놀랐네요. 빠른 배송 좋아요.  LG...,평점4
3,어머니 사드렸는데 넘 좋아하시네요. 나이가 있으시기 때문에 벨소리며 통화음량이 커서 아주 만족하세요.  지인분들과의 통화가 낙이신데  앞으로도 즐겁게 지내셨슴 좋겠어요. ^^,평점5
4,제품 사이즈 적당하고 소리 잘 들리고 모두 좋습니다.근데 본체수화기랑 무선전화기무게가 가벼워서 내려놓을때 살짝 불안하네요다른건 다 좋아요~~~~,평점4
5,두개로 사용하니 편해요,평점5
6,전화기를 새로 교제해습니다. 전에 사용해봤던 모토로라 제품으로요. 가격도 적당하고 디자인도 좋고 잘들리네요.,평점5
7,좋아요~,평점4
8,좋아요,평점4
9,매장 전화기고장나서삿는데 상대방이 말할때목소리가 많이작네요 그부분이아쉬웠습니다,평점3
10,좋아요,평점4
11,깔끔하고 성능 좋음. 가격도 싸고 디자인도 좋아요. 유무선 전화기 필요하면 강추합니다.,평점5
12,조아요,평점5
13,사무실에서 쓰려고 구매했는데 확실히 좋습니다. 디자인도 깔끔하고 잘 작동하네요,평점5
14,좋아요,평점4
15,버튼누르는게 부드럽지않지만 디자인이나 음질은 보통수준....,평점5
16,너무 좋아요,평점5
17,기존에사용하던모델과동일한기종구매했는데 휴대용수신기 (이...,평점4
18,가성비 갑,평점5
19,최고예요,평점5
